tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,director,writer,cast
tt0242587,L.I.E.,2001,97,"Crime,Drama",7.1,10236.0,Michael Cuesta,Stephen M. Ryder,Brian Cox
tt0242653,The Matrix Revolutions,2003,129,"Action,Sci-Fi",6.7,524672.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves
tt0243017,Waking Life,2001,99,"Animation,Drama,Fantasy",7.7,65502.0,Richard Linklater,Richard Linklater,Ethan Hawke
tt0243133,The Man Who Wasn't There,2001,116,"Crime,Drama",7.5,111897.0,Joel Coen,Joel Coen,Billy Bob Thornton
tt0243155,Bridget Jones's Diary,2001,97,"Comedy,Drama,Romance",6.8,250779.0,Sharon Maguire,Helen Fielding,Renée Zellweger
tt0243255,À ma soeur!,2001,95,Drama,6.4,12276.0,Catherine Breillat,Catherine Breillat,Laura Betti
tt0243493,Le placard,2001,84,Comedy,7.0,17921.0,Francis Veber,Francis Veber,Daniel Auteuil
tt0243585,Stuart Little 2,2002,77,"Adventure,Animation,Comedy",5.5,56263.0,Rob Minkoff,E.B. White,Michael J. Fox
tt0243609,To End All Wars,2001,125,"Action,Drama,War",7.0,11271.0,David L. Cunningham,Ernest Gordon,Robert Carlyle
tt0243655,Wet Hot American Summer,2001,97,"Comedy,Romance",6.5,59078.0,David Wain,Michael Showalter,Janeane Garofalo
tt0243736,40 Days and 40 Nights,2002,96,"Comedy,Romance",5.6,74566.0,Michael Lehmann,Rob Perez,Josh Hartnett
tt0243862,Italiensk for begyndere,2000,112,"Comedy,Drama,Romance",7.1,13584.0,Lone Scherfig,Maeve Binchy,Anders W. Berthelsen
tt0244000,American Outlaws,2001,94,"Action,Western",5.9,16934.0,Les Mayfield,Roderick Taylor,Colin Farrell
tt0244244,Swordfish,2001,99,"Action,Crime,Thriller",6.5,191401.0,Dominic Sena,Skip Woods,John Travolta
tt0244316,Yi yi,2000,173,"Drama,Romance",8.1,26128.0,Edward Yang,Edward Yang,Nien-Jen Wu
tt0244970,Someone Like You...,2001,97,"Comedy,Romance",6.0,26909.0,Tony Goldwyn,Laura Zigman,Ashley Judd
tt0245046,Charlotte Gray,2001,121,"Drama,Romance,Thriller",6.4,12871.0,Gillian Armstrong,Sebastian Faulks,Cate Blanchett
tt0245238,Lost and Delirious,2001,103,"Drama,Romance",6.8,21702.0,Léa Pool,Susan Swan,Piper Perabo
tt0245429,Sen to Chihiro no kamikakushi,2001,125,"Adventure,Animation,Family",8.6,787127.0,Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase
tt0245562,Windtalkers,2002,134,"Action,Drama,War",6.1,71102.0,John Woo,John Rice,Nicolas Cage
tt0245574,Y tu mamá también,2001,106,Drama,7.7,125530.0,Alfonso Cuarón,Carlos Cuarón,Maribel Verdú
tt0245674,Thir13en Ghosts,2001,91,"Fantasy,Horror",5.6,89853.0,Steve Beck,Robb White,Tony Shalhoub
tt0245686,Joe Dirt,2001,91,"Adventure,Comedy,Drama",6.0,58622.0,Dennie Gordon,David Spade,David Spade
tt0245712,Amores perros,2000,154,"Drama,Thriller",8.1,245017.0,Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría
tt0245803,Bulletproof Monk,2003,104,"Action,Comedy,Fantasy",5.4,51250.0,Paul Hunter,Ethan Reiff,Chow Yun-Fat
tt0245844,The Count of Monte Cristo,2002,131,"Action,Adventure,Drama",7.7,142284.0,Kevin Reynolds,Alexandre Dumas,Jim Caviezel
tt0246460,Die Another Day,2002,133,"Action,Adventure,Thriller",6.1,223318.0,Lee Tamahori,Ian Fleming,Pierce Brosnan
tt0246464,Big Trouble,2002,85,"Comedy,Crime,Thriller",6.4,21196.0,Barry Sonnenfeld,Dave Barry,Tim Allen
tt0246578,Donnie Darko,2001,113,"Drama,Mystery,Sci-Fi",8.0,818031.0,Richard Kelly,Richard Kelly,Jake Gyllenhaal
tt0246677,Heaven,2002,97,"Crime,Drama,Romance",7.0,26091.0,Tom Tykwer,Krzysztof Kieslowski,Cate Blanchett
tt0246989,Tomcats,2001,95,Comedy,5.3,19066.0,Gregory Poirier,Gregory Poirier,Shannon Elizabeth
tt0247196,Before Night Falls,2000,133,"Biography,Drama,Romance",7.1,25784.0,Julian Schnabel,Cunningham O'Keefe,Javier Bardem
tt0247199,The Believer,2001,98,Drama,7.1,39594.0,Henry Bean,Henry Bean,Ryan Gosling
tt0247425,In the Bedroom,2001,131,"Crime,Drama",7.4,40987.0,Todd Field,Andre Dubus,Tom Wilkinson
tt0247586,Nueve reinas,2000,114,"Crime,Drama,Thriller",7.9,54659.0,Fabián Bielinsky,Fabián Bielinsky,Ricardo Darín
tt0247613,Bakha satang,1999,129,Drama,7.6,10043.0,Lee Chang-dong,Lee Chang-dong,Sol Kyung-gu
tt0247638,The Princess Diaries,2001,115,"Comedy,Family,Romance",6.4,153193.0,Garry Marshall,Meg Cabot,Julie Andrews
tt0247745,Super Troopers,2001,100,"Comedy,Crime,Mystery",7.0,108644.0,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar
tt0248126,Kabhi Khushi Kabhie Gham...,2001,210,"Drama,Musical,Romance",7.4,52213.0,Karan Johar,Karan Johar,Shah Rukh Khan
tt0248408,Der Schuh des Manitu,2001,87,"Comedy,Western",6.6,19518.0,Michael Herbig,Michael Herbig,Michael Herbig
tt0248667,Ali,2001,157,"Biography,Drama,Sport",6.7,102503.0,Michael Mann,Gregory Allen Howard,Will Smith
tt0248845,Hedwig and the Angry Inch,2001,95,"Comedy,Drama,Music",7.7,36433.0,John Cameron Mitchell,John Cameron Mitchell,John Cameron Mitchell
tt0249241,Werckmeister harmóniák,2000,145,"Drama,Mystery",8.0,14882.0,Ágnes Hranitzky,László Krasznahorkai,Lars Rudolph
tt0249462,Billy Elliot,2000,110,"Drama,Music",7.7,138245.0,Stephen Daldry,Lee Hall,Jamie Bell
tt0249478,Domestic Disturbance,2001,89,"Crime,Thriller",5.6,28038.0,Harold Becker,Lewis Colick,John Travolta
tt0250081,Storytelling,2001,87,"Comedy,Drama,Romance",6.8,17992.0,Todd Solondz,Todd Solondz,Selma Blair
tt0250223,Astérix & Obélix: Mission Cléopâtre,2002,107,"Adventure,Comedy,Family",6.7,55271.0,Alain Chabat,René Goscinny,Gérard Depardieu
tt0250224,Crazy/Beautiful,2001,99,"Drama,Romance",6.4,25167.0,John Stockwell,Phil Hay,Kirsten Dunst
tt0250258,Das Experiment,2001,120,"Drama,Thriller",7.7,94904.0,Oliver Hirschbiegel,Mario Giordano,Moritz Bleibtreu
tt0250323,The Deep End,2001,101,"Crime,Drama,Mystery",6.5,11809.0,Scott McGehee,Elisabeth Sanxay Holding,Tilda Swinton
tt0250468,Killing Me Softly,2002,100,"Drama,Mystery,Romance",5.4,18652.0,Kaige Chen,Sean French,Heather Graham
tt0250494,Legally Blonde,2001,96,"Comedy,Romance",6.4,228594.0,Robert Luketic,Amanda Brown,Reese Witherspoon
tt0250687,Rat Race,2001,112,"Action,Adventure,Comedy",6.4,119257.0,Jerry Zucker,Andy Breckman,Breckin Meyer
